comment,FilePath,preId,id,zh-cn,en-us
"t('addUpdate.fangWenDeYe')","../src/views/system/menu/addUpdate.vue:311","addUpdate","fangWenDeYe","访问的页面路径，如：菜单管理 `/system/menu/index`，默认在`views`目录下","en"
"t('addUpdate.fangWenDeMu')","../src/views/system/menu/addUpdate.vue:318","addUpdate","fangWenDeMu","访问的目录路径，如：菜单管理 `/system`，默认在`views`目录下","en"
"t('addUpdate.muLuLuJing')","../src/views/system/menu/addUpdate.vue:326","addUpdate","muLuLuJing","目录路径","en"
"t('addUpdate.yeMianLuJing1')","../src/views/system/menu/addUpdate.vue:328","addUpdate","yeMianLuJing1","页面路径","en"
"t('addUpdate.quanXianBiaoShi')","../src/views/system/menu/addUpdate.vue:329","addUpdate","quanXianBiaoShi","权限标识","en"
"t('addUpdate.fangWenYeMian')","../src/views/system/menu/addUpdate.vue:340","addUpdate","fangWenYeMian","访问页面的名称，系统访问页面路由时，根据页面名称来定位","en"
"t('addUpdate.yeMianMingCheng1')","../src/views/system/menu/addUpdate.vue:345","addUpdate","yeMianMingCheng1","页面名称","en"
"t('addUpdate.qingShuRuYe1')","../src/views/system/menu/addUpdate.vue:350","addUpdate","qingShuRuYe1","请输入页面名称","en"
"t('addUpdate.ciAnNiuGong')","../src/views/system/menu/addUpdate.vue:359","addUpdate","ciAnNiuGong","此按钮功能对应的后端接口请求地址，如：新增菜单接口：/boss/system/menu/add","en"
"t('addUpdate.jieKouDiZhi')","../src/views/system/menu/addUpdate.vue:364","addUpdate","jieKouDiZhi","接口地址","en"
"t('addUpdate.jieKouQingQiu')","../src/views/system/menu/addUpdate.vue:367","addUpdate","jieKouQingQiu","接口请求地址","en"
"t('addUpdate.qingShuRuCai1')","../src/views/system/menu/addUpdate.vue:376","addUpdate","qingShuRuCai1","请输入菜单备注","en"
"t('addUpdate.queDing')","../src/views/system/menu/addUpdate.vue:385","addUpdate","queDing","确 定","en"
"t('addUpdate.quXiao')","../src/views/system/menu/addUpdate.vue:387","addUpdate","quXiao","取 消","en"
"t('hook.tuBiao')","../src/views/system/menu/hook.ts:41","hook","tuBiao","图标","en"
"t('hook.yeMianLuJing2')","../src/views/system/menu/hook.ts:57","hook","yeMianLuJing2","页面路径或权限标识","en"
"t('hook.xiuGaiCaiDan')","../src/views/system/menu/hook.ts:147","hook","xiuGaiCaiDan","修改菜单","en"
"t('hook.shiFouQueRen')","../src/views/system/menu/hook.ts:152","hook","shiFouQueRen","是否确认删除名称为""","en"
"t('hook.deShuJuXiang')","../src/views/system/menu/hook.ts:152","hook","deShuJuXiang","""的数据项?","en"
"t('index.xinZengCaiDan')","../src/views/system/menu/index.vue:39","index","xinZengCaiDan","新增菜单","en"
"t('index.zhanKaiZheDie')","../src/views/system/menu/index.vue:46","index","zhanKaiZheDie","展开/折叠","en"
"t('index.xinZeng')","../src/views/system/menu/index.vue:79","index","xinZeng","新增","en"
"t('addUpdate.xinZengRenYuan')","../src/views/system/personnel/addUpdate.vue:18","addUpdate","xinZengRenYuan","新增人员","en"
"t('addUpdate.yongHuMing')","../src/views/system/personnel/addUpdate.vue:131","addUpdate","yongHuMing","用户名","en"
"t('addUpdate.qingShuRuYong')","../src/views/system/personnel/addUpdate.vue:135","addUpdate","qingShuRuYong","请输入用户名","en"
"t('addUpdate.miMa')","../src/views/system/personnel/addUpdate.vue:141","addUpdate","miMa","密码","en"
"t('addUpdate.queRenMiMa')","../src/views/system/personnel/addUpdate.vue:153","addUpdate","queRenMiMa","确认密码","en"
"t('addUpdate.qingQueRenMi')","../src/views/system/personnel/addUpdate.vue:159","addUpdate","qingQueRenMi","请确认密码","en"
"t('addUpdate.shouJiHao')","../src/views/system/personnel/addUpdate.vue:164","addUpdate","shouJiHao","手机号","en"
"t('addUpdate.qingShuRuShou')","../src/views/system/personnel/addUpdate.vue:167","addUpdate","qingShuRuShou","请输入手机号","en"
"t('addUpdate.qingXuanZe')","../src/views/system/personnel/addUpdate.vue:176","addUpdate","qingXuanZe","请选择","en"
"t('addUpdate.zhuangTai')","../src/views/system/personnel/addUpdate.vue:195","addUpdate","zhuangTai","状态","en"
"t('addUpdate.keYong')","../src/views/system/personnel/addUpdate.vue:196","addUpdate","keYong","可用","en"
"t('addUpdate.buKeYong')","../src/views/system/personnel/addUpdate.vue:197","addUpdate","buKeYong","不可用","en"
"t('assignRoles.caoZuoChengGong')","../src/views/system/personnel/assignRoles.vue:75","assignRoles","caoZuoChengGong","操作成功！","en"
"t('assignRoles.fenPeiJiaoSe')","../src/views/system/personnel/assignRoles.vue:90","assignRoles","fenPeiJiaoSe","分配角色","en"
"t('assignRoles.renYuanZhuangTai')","../src/views/system/personnel/assignRoles.vue:99","assignRoles","renYuanZhuangTai","人员状态","en"
"t('assignRoles.renYuanJiaoSe')","../src/views/system/personnel/assignRoles.vue:103","assignRoles","renYuanJiaoSe","人员角色","en"
"t('hook.xuHao')","../src/views/system/personnel/hook.tsx:34","hook","xuHao","序号","en"
"t('hook.quHaoShouJi')","../src/views/system/personnel/hook.tsx:49","hook","quHaoShouJi","区号 - 手机号","en"
"t('hook.zuiHouXiuGai')","../src/views/system/personnel/hook.tsx:71","hook","zuiHouXiuGai","最后修改时间","en"
"t('hook.xiuGaiRenYuan')","../src/views/system/personnel/hook.tsx:100","hook","xiuGaiRenYuan","修改人员","en"
